NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
--------------------------------------------------------------
0       0.0     0.0        0.0         0     ../algorithms/algorithms/tree/avl/__init__.py
1      1      6      1       2 __init__@38-39@../algorithms/algorithms/heap/binary_heap.py
1      1      8      2       2 perc_up@42-43@../algorithms/algorithms/heap/binary_heap.py
1      1      8      2       2 insert@46-47@../algorithms/algorithms/heap/binary_heap.py
1      1      8      2       2 perc_down@50-51@../algorithms/algorithms/heap/binary_heap.py
1      1      8      2       2 min_child@54-55@../algorithms/algorithms/heap/binary_heap.py
1      1      6      1       2 remove_min@58-59@../algorithms/algorithms/heap/binary_heap.py
1       0.0     0.0        0.0         0     ../algorithms/algorithms/automata/__init__.py
1       0.0     0.0        0.0         0     ../algorithms/algorithms/greedy/__init__.py
1       0.0     0.0        0.0         0     ../algorithms/algorithms/set/__init__.py
2      1     31      3       2 query@36-37@../algorithms/algorithms/tree/segment_tree/segment_tree.py
2      1     13      1       2 __init__@25-26@../algorithms/algorithms/tree/trie/add_and_search.py
2      1     15      1       2 __init__@59-60@../algorithms/algorithms/tree/trie/add_and_search.py
2      1     12      1       2 __init__@17-18@../algorithms/algorithms/tree/trie/trie.py
2      1     10      1       2 __init__@16-17@../algorithms/algorithms/tree/red_black_tree/red_black_tree.py
2      1     20      1       2 test_height@56-57@../algorithms/algorithms/tree/bst/height.py
2      1     10      1       2 __init__@18-19@../algorithms/algorithms/tree/bst/bst.py
2      1      9      1       2 get_root@21-22@../algorithms/algorithms/tree/bst/bst.py
2      1     14      1       2 size@28-29@../algorithms/algorithms/tree/bst/bst.py
2      1     18      2       2 search@41-42@../algorithms/algorithms/tree/bst/bst.py
2      1     19      1       2 test_size@135-136@../algorithms/algorithms/tree/bst/bst.py
2      1     20      1       2 test_num_empty@63-64@../algorithms/algorithms/tree/bst/num_empty.py
2      1     22      1       2 test_depth_sum@62-63@../algorithms/algorithms/tree/bst/depth_sum.py
2      1     12      1       2 has_next@9-10@../algorithms/algorithms/tree/bst/BSTIterator.py
2      1     20      1       2 test_count_left_node@57-58@../algorithms/algorithms/tree/bst/count_left_node.py
2      1     10      1       2 is_balanced@1-2@../algorithms/algorithms/tree/is_balanced.py
2      1     14      1       5 __is_balanced_recursive@5-9@../algorithms/algorithms/tree/is_balanced.py
2      1     14      1       2 __repr__@29-30@../algorithms/algorithms/tree/b_tree.py
2      1     15      1       3 is_leaf@33-35@../algorithms/algorithms/tree/b_tree.py
2      1     17      2       2 remove_key@104-105@../algorithms/algorithms/tree/b_tree.py
2      1     12      1       2 ultra_pythonic@20-21@../algorithms/algorithms/strings/reverse_string.py
2      3     25      1       5 remove_punctuation@49-53@../algorithms/algorithms/strings/is_palindrome.py
2      1     12      1       2 string_reverse@56-57@../algorithms/algorithms/strings/is_palindrome.py
2      2     23      1       2 fizzbuzz_with_helper_func@50-51@../algorithms/algorithms/strings/fizzbuzz.py
2      1     33      1       2 domain_name_2@27-28@../algorithms/algorithms/strings/domain_extractor.py
2      1     18      1       2 window_text@29-30@../algorithms/algorithms/strings/rabin_karp.py
2      1     17      1       2 is_valid_coordinates_regular_expression@48-49@../algorithms/algorithms/strings/validate_coordinates.py
2      1     36      2       2 min_distance@14-15@../algorithms/algorithms/strings/min_distance.py
2      1     20      2       2 get_bit@14-15@../algorithms/algorithms/bit/bit_operation.py
2      1     16      2       2 set_bit@21-22@../algorithms/algorithms/bit/bit_operation.py
2      2     19      1       6 is_power_of_two@4-9@../algorithms/algorithms/bit/power_of_two.py
2      1     26      2       2 bubble_sort.swap@14-15@../algorithms/algorithms/sort/bubble_sort.py
2      1     26      2       2 cocktail_shaker_sort.swap@12-13@../algorithms/algorithms/sort/cocktail_shaker_sort.py
2      1     26      2       2 comb_sort.swap@11-12@../algorithms/algorithms/sort/comb_sort.py
2      1     21      3       5 add_edge@18-22@../algorithms/algorithms/graph/path_between_two_vertices_in_digraph.py
2      1     13      1       5 shallow_copy@42-46@../algorithms/algorithms/graph/clone_graph.py
2      1     16      2       5 add_neighbor@48-52@../algorithms/algorithms/graph/clone_graph.py
2      1     12      2       2 __init__@11-12@../algorithms/algorithms/graph/graph.py
2      1     18      2       2 __eq__@25-26@../algorithms/algorithms/graph/graph.py
2      1      9      1       2 __repr__@28-29@../algorithms/algorithms/graph/graph.py
2      1     12      1       2 __hash__@31-32@../algorithms/algorithms/graph/graph.py
2      1     18      2       2 __ne__@34-35@../algorithms/algorithms/graph/graph.py
